							Cluster-based matching	Cell-based matching					Cluster size comparison																	Biomarker-based inference																
58	46	27	Epithelial	Ciliated	Neuroendocrine	Pulmonary neuroendocrine cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	159	1155	0.14	0.94	0.97	584781	4	27	132	2	0.98	0.99	346802	13	73	1082	2	"['CHGA', 'GRP']"	"['GRP', 'CHGA']"	"['CHGA', 'GRP', 'ASCL1', 'CALCA', 'KIF1A', 'SCG5', 'SCG3', 'SCGN', 'PCSK1N', 'PHGR1']"	"['GRP', 'CHGA', 'SCG5', 'GP2', 'SCGN', 'CALCA', 'SCG2', 'RPRM', 'CHGB', 'SCG3']"	"[GRP, PHGR1, SCG5, CHGA, SCG3, SCGN, CALCA]"	7		Neuroendocrine	skos:exactMatch	lung neuroendocrine cell	http://purl.obolibrary.org/obo/CL_1000223	"A neuroendocrine cell that is part of respiratory epithelium of the lung and is involved in the sensory detection of environmental stimuli, including hypoxia, nicotine and air pressure. Ultrastructurally, this cell type is characterized by the presence of cytoplasmic dense core granules, which are considered the storage sites of amine and peptide hormones. Lung neuroendocrine cells are innervated and appear as solitary cells or as clustered masses, localized at airway bifurcation sites, called neuroepithelial bodies that can release serotonin in response to hypoxia and interact with sensory nerve terminals. Lung neuroendocrine cells also function as reserve stem cells that repair the surrounding epithelium after injury."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
61	48	28	Epithelial	Ciliated	Multiciliated (non-nasal)	Ciliated cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	35225	13410	2.63	0.86	0.92	547794	1925	11700	23525	2	0.96	0.99	334426	134	2081	11329	2	"['C1orf194', 'MS4A8']"	"['C1orf194', 'C9orf24']"	"['CFAP157', 'CCDC78', 'SNTN', 'DYNLRB2', 'C1orf194', 'MS4A8', 'CAPSL', 'DNAH12', 'C9orf24', 'RSPH1']"	"['TMEM190', 'SNTN', 'FAM92B', 'DYNLRB2', 'C1orf194', 'C9orf24', 'CAPSL', 'RSPH1', 'LRRIQ1', 'C9orf116']"	"[C1orf194, SNTN, RSPH1, DYNLRB2, CAPSL, C9orf24]"	6		Multiciliated (non-nasal)	skos:relatedMatch	ciliated columnar cell of tracheobronchial tree	http://purl.obolibrary.org/obo/CL_0002145	"A ciliated columnar cell found in the trachea and bronchus. Vary from low to tall columnar; possesses up to 300 cilia at its surface, interspersed with long irregular microvilli with the cilia varying in length from about 6um in the trachea to about 4um in the terminal bronchioles; driving force of the ciliary current in the bronchial tree."					
5	2	29	Immune	Dendritic cell	DC2	Classical DC subset 2	Y	N	Y	Y	Y	HLCA2CellRef_Match	9133	2594	3.52	0.53	0.81	575331	480	7083	2050	2	0.65	0.88	345264	112	1775	819	2	"['CLEC10A', 'HLA-DQA1']"	"['CLEC10A', 'PKIB']"	"['CLEC10A', 'RGS1', 'GPR183', 'MS4A6A', 'HLA-DQA1', 'C1QA', 'C1QB', 'HLA-DQB1', 'CD68', 'HLA-DPB1']"	"['CLEC10A', 'FCGR2B', 'JAML', 'CSF2RA', 'GPR183', 'PKIB', 'AREG', 'HLA-DQA1', 'RGS1', 'HLA-DQB1']"	"[HLA-DQB1, CLEC10A, GPR183, RGS1, HLA-DQA1]"	5		DC2	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0002399	A myeloid dendritic cell found in the blood that is CD1c-positive.					
6	3	30	Immune	Dendritic cell	DC1	Classical DC subset 1	Y	N	N	N	Y	HLCA2CellRef_Match	322	260	1.24	0.77	0.82	584578	44	122	200	2	0.80	0.95	347704	6	135	125	2	"['CLEC9A', 'DNASE1L3']"	"['CLEC9A', 'IDO1']"	"['CLEC9A', 'WDFY4', 'C1orf54', 'HLA-DOB', 'DNASE1L3', 'IDO1', 'CLNK', 'CPNE3', 'IRF8', 'CPVL']"	"['CLEC9A', 'WDFY4', 'C1orf54', 'AC099560.1', 'RAB7B', 'IDO1', 'CPVL', 'CLNK', 'IRF8', 'S100B']"	"[CLNK, IDO1, IRF8, WDFY4, CPVL, CLEC9A, C1orf54]"	7		DC1	skos:relatedMatch	unknown	CL:0000990						
7	4	31	Immune	Dendritic cell	Migratory DCs	Mature DC subset	Y	N	N	Y	Y	HLCA2CellRef_Match	312	236	1.32	0.50	0.52	584501	131	172	140	1	0.64	0.68	347680	54	119	117	1	['CCL22']	['CCL22']	"['CCL22', 'CCR7', 'RASSF4', 'TBC1D4', 'CCL17', 'GPR157', 'LAD1', 'CSF2RA', 'FSCN1', 'DAPP1']"	"['CCL22', 'CCR7', 'GPR157', 'FSCN1', 'CERS6', 'ANKRD33B', 'KDM2B', 'TRAF1', 'BIRC3', 'LAMP3']"	"[CCL22, GPR157, FSCN1, CCR7]"	4		Migratory DCs	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_4033045	A dendritic cell that captures antigens in a lung and migrates to a lymph node or to the spleen to activate T cells.	These cells selectively express the CCL22 transcript in human lung.				
8	6	32	Immune	Monocyte/macrophage	Classical monocyte	Inflammatory monocyte	Y	N	N	N	Y	HLCA2CellRef_Match	17695	17999	0.98	0.77	0.89	566128	1121	8668	9027	2	0.80	0.98	329805	166	9591	8408	2	"['S100A12', 'FCN1']"	"['VCAN', 'S100A8']"	"['S100A12', 'CD300E', 'EREG', 'FCN1', 'VCAN', 'CFP', 'S100A8', 'THBS1', 'MNDA', 'S100A9']"	"['EREG', 'VCAN', 'S100A12', 'FCN1', 'THBS1', 'S100A8', 'IL1R2', 'JARID2', 'PLAUR', 'C5AR1']"	"[S100A8, VCAN, S100A12, EREG, FCN1, THBS1]"	6		Classical monocyte	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_0000860	"A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."	These cells selectively express the combination of S100A12 and FCN1 transcripts in human lung.				
11	8	33	Immune	Monocyte/macrophage	Interstitial Mph perivascular	Interstitial macrophage	Y	N	N	N	Y	HLCA2CellRef_Match	4805	6437	0.75	0.46	0.62	579474	665	3705	1100	3	0.60	0.76	340860	673	4314	2123	2	"['F13A1', 'STAB1', 'FCGR2B']"	"['F13A1', 'C1QC']"	"['F13A1', 'STAB1', 'FCGR2B', 'CSF1R', 'TGFBI', 'RNASE6', 'CD14', 'CD163', 'MS4A6A', 'MRC1']"	"['STAB1', 'FMN1', 'SLCO2B1', 'F13A1', 'LGMN', 'C1QC', 'MRC1', 'C1QB', 'C1QA', 'MS4A6A']"	"[STAB1, MRC1, MS4A6A, F13A1]"	4		Interstitial Mph perivascular	skos:broadMatch	unknown	CL:1001603						
28	24	34	Stromal	Myofibroblast	Myofibroblasts	Secondary crest myofibroblast	Y	N	Y	N	Y	HLCA2CellRef_Match	716	953	0.75	0.48	0.82	584200	28	589	127	3	0.52	0.72	346922	95	714	239	2	"['ASPN', 'DKK3', 'BCHE']"	"['ASPN', 'ITGBL1']"	"['ITGBL1', 'ASPN', 'LTBP2', 'DKK3', 'BCHE', 'LTBP1', 'PRELP', 'CFH', 'ACTA2', 'TAGLN']"	"['ASPN', 'LTBP2', 'ITGBL1', 'LTBP1', 'COL1A1', 'COL3A1', 'CFH', 'ACTA2', 'TAGLN', 'DCN']"	"[ACTA2, LTBP1, ASPN, TAGLN, LTBP2, CFH, ITGBL1]"	7		Myofibroblasts	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_0000186	An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell.	"These cells selectively express the combination of ASPN, DKK3, and BCHE transcripts in human lung."				
32	27	35	Stromal	Smooth muscle	Smooth muscle cell FAM83D+	Airway smooth muscle cell	Y	N	Y	N	Y	HLCA2CellRef_Match	335	515	0.65	0.77	0.77	584530	79	71	264	1	0.63	0.98	347452	3	383	132	2	['ACTG2']	"['DES', 'BCHE']"	"['FAM83D', 'SBSPON', 'DES', 'ACTG2', 'CNN1', 'BCHE', 'SMOC2', 'MYLK', 'ACTA2', 'TAGLN']"	"['PRUNE2', 'DES', 'BCHE', 'SYNPO2', 'RAMP1', 'PDLIM3', 'ACTG2', 'CNN1', 'MYH11', 'SVIL']"	"[CNN1, ACTG2, DES, BCHE]"	4		Smooth muscle cell FAM83D+	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0019019						
41	35	36	Epithelial	Airway epithelium	Basal resting	Basal cell	Y	N	N	N	N	HLCA2CellRef_Match	38955	12989	3.00	0.75	0.75	536261	9728	10134	28821	2	0.88	0.94	334416	565	3902	9087	2	"['KRT15', 'KRT17']"	"['DLK2', 'KRT15']"	"['DLK2', 'KRT15', 'ALDH3A2', 'LAMB3', 'KRT17', 'KRT5', 'ADH7', 'S100A2', 'BCAM', 'IGFBP2']"	"['MMP10', 'TP63', 'DLK2', 'KRT15', 'ALDH3A1', 'FHL2', 'LAMB3', 'KRT5', 'S100A2', 'IL33']"	"[LAMB3, S100A2, DLK2, KRT15, KRT5]"	5		Basal resting	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_0002633	A basal cell in the respiratory tract.  (Basal cell - Undifferentiated; mitotic stem cell for other epithelial cell types; rounded or elliptical with little cytoplasm and few organelles; contain cytokeratin intermediate filament.)	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
42	36	37	Epithelial	Airway epithelium	Tuft	Tuft cell	Y	N	N	Y	Y	HLCA2CellRef_Match	165	88	1.88	0.56	0.69	584756	23	113	52	3	0.76	0.97	347881	1	52	36	3	"['POU2F3', 'HOMER3', 'MYB']"	"['NREP', 'POU2F3', 'RASSF6']"	"['NREP', 'POU2F3', 'IRAG2', 'HOMER3', 'MEX3A', 'MYB', 'RASSF6', 'KIT', 'CRYM', 'HES6']"	"['NREP', 'POU2F3', 'IL23A', 'MEX3A', 'RASSF6', 'FOXI1', 'HEPACAM2', 'HES6', 'CRYM', 'KIT']"	"[HES6, RASSF6, CRYM, KIT, MEX3A, NREP, POU2F3]"	7		Tuft	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0002075	"Infrequent type of columnar epithelial cell. This cell is characterized by the presence of a tuft of blunt, squat microvilli (approximately 120-140/cell) on the cell surface. The microvilli contain filaments that stretch into the underlying cytoplasm. They have a distinctive pear shape with a wide base and a narrow microvillous apex. Function not known."					
43	37	38	Epithelial	Submucosal Gland	SMG mucous	Mucous cell	Y	Y	Y	Y	N	HLCA2CellRef_Match	537	1113	0.48	0.93	0.94	584377	30	50	487	1	0.95	0.96	346808	49	63	1050	1	['BPIFB2']	['BPIFB2']	"['BPIFB2', 'NKX3-1', 'TFF1', 'HMGCS2', 'GLYATL2', 'DEFB1', 'FAM3B', 'GOLM1', 'FGGY', 'MUC5B']"	"['BPIFB2', 'TFF1', 'NKX3-1', 'ENTPD8', 'B3GNT6', 'CGREF1', 'GLYATL2', 'MUC5B', 'DEFB1', 'TCN1']"	"[GLYATL2, DEFB1, TFF1, NKX3-1, BPIFB2, MUC5B]"	6		SMG mucous	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0002063	"A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli."					
49	40	39	Epithelial	Alveolar epithelium	pre-TB secretory	Respiratory airway secretory cell	Y	N	Y	Y	Y	HLCA2CellRef_Match	4393	4257	1.03	0.73	0.79	579874	677	1890	2503	2	0.87	0.90	343351	362	988	3269	2	"['SCGB1A1', 'SFTPB']"	"['SCGB3A2', 'SFTPB']"	"['KLK10', 'TMEM45A', 'SCGB3A2', 'SFTA1P', 'SCGB1A1', 'SFTPB', 'APOD', 'KLK11', 'SCGB3A1', 'FOLR1']"	"['SCGB3A2', 'SFTPA2', 'SFTPA1', 'SFTA2', 'SFTPB', 'SCGB1A1', 'KLK11', 'RNASE1', 'SFTPC', 'PIGR']"	"[SCGB3A2, SCGB1A1, SFTPB, KLK11]"	4		pre-TB secretory	skos:broadMatch	unknown	CL:0002632						
54	42	40	Epithelial	Club/Goblet	Club (non-nasal)	Goblet cell	Y	N	N	N	N	HLCA2CellRef_Match	9955	2521	3.95	0.68	0.75	573261	1728	4889	5066	2	0.75	0.93	345368	81	1442	1079	2	"['CYP2F1', 'SCGB1A1']"	"['MUC5AC', 'PSCA']"	"['CXCL6', 'CYP2F1', 'CLCA2', 'TSPAN8', 'SCGB1A1', 'MUC5B', 'MSMB', 'TGM2', 'KLK11', 'SCGB3A1']"	"['MUC5AC', 'LYPD2', 'PSCA', 'CYP2F1', 'VMO1', 'S100P', 'MSMB', 'TSPAN8', 'LCN2', 'BPIFB1']"	"[MSMB, TSPAN8, CYP2F1]"	3		Club (non-nasal)	skos:broadMatch	unknown	CL:0000158						
59	47	41	Epithelial	Ciliated	Deuterosomal	Deuterosomal cell	Y	N	N	Y	Y	HLCA2CellRef_Match	1004	202	4.97	0.71	0.84	583861	79	574	430	2	0.86	0.95	347761	7	73	129	2	"['CDC20B', 'CEP78']"	"['CDC20B', 'DEUP1']"	"['CDC20B', 'PLK4', 'DEUP1', 'E2F7', 'CEP78', 'POGLUT3', 'USP13', 'RPL39L', 'CCNO', 'CDC20']"	"['CDC20B', 'FOXN4', 'SHISA8', 'PLK4', 'DEUP1', 'CDC20', 'NEK2', 'POGLUT3', 'MCIDAS', 'E2F7']"	"[CDC20B, E2F7, PLK4, CDC20, POGLUT3, DEUP1]"	6		Deuterosomal	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_4033044	"An epithelial cell part of respiratory tract epithelium that is a precursor of a multi-ciliated cell. This cell actively amplifies centrioles, a required step for multiciliogenesis."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
1	100	42	Immune	Macrophage	Alveolar Mph MT-positive		N	N	N	N	N	HLCA-specific	1203			0.41	0.61	583606	135	991	212	2								"['HMOX1', 'HPGD']"		"['MT1G', 'KCNMA1', 'MT1F', 'HMOX1', 'HPGD', 'EFHD2', 'MT1X', 'MT1E', 'RAB11FIP1', 'CSTB']"					Alveolar Mph MT-positive	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_4033042	An alveolar macrophage that expresses metallothionein.	These cells selectively express the combination of HMOX1 and HPGD transcripts in human lung.				
2	101	43	Immune	Macrophage	Alveolar Mph CCL3+		Y (Alveolar macrophage)	N	N	N	N	HLCA-specific	8065			0.67	0.89	576556	323	5343	2722	2								"['TNIP3', 'CXCL5']"		"['TNIP3', 'CCL4L2', 'CCL20', 'CXCL5', 'TNFAIP6', 'TRGC1', 'ITGB8', 'MIR3945HG', 'IL1B', 'CCL4']"					Alveolar Mph CCL3+	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_4033041	An alveolar macrophage that expresses CCL3.	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
4	102	44	Immune	Macrophage	Alveolar Mph proliferating		N	N	N	N	N	HLCA-specific	1061			0.26	0.25	582902	981	736	325	4								"['PCLAF', 'RRM2', 'UBE2C', 'NUSAP1']"		"['PCLAF', 'RRM2', 'MKI67', 'UBE2C', 'CDK1', 'NUSAP1', 'BIRC5', 'TOP2A', 'TYMS', 'FABP4']"					Alveolar Mph proliferating	skos:broadMatch	unknown	http://purl.obolibrary.org/obo/CL_0000583						
10	103	45	Immune	Monocyte/macrophage	Monocyte-derived Mph		N	N	N	N	N	HLCA-specific	28223			0.37	0.36	536678	20043	16926	11297	2								"['C15orf48', 'CD68']"		"['OLR1', 'ACP5', 'MRC1', 'C15orf48', 'C1QB', 'CD68', 'C1QA', 'PLAUR', 'HLA-DQA1', 'CTSB']"					Monocyte-derived Mph	skos:broadMatch	unknown	CL:0000861						
12	104	46	Immune	Hematopoietic stem cells	Hematopoietic stem cells		N	N	N	N	N	HLCA-specific	60			0.66	0.78	584877	7	35	25	2								"['CYTL1', 'FAM30A']"		"['PRSS57', 'SMIM24', 'CYTL1', 'SPINK2', 'FAM30A', 'FAM117A', 'CDK6', 'GIHCG', 'CAT', 'MEST']"					Hematopoietic stem cells	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_0000037	"A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119."	These cells selectively express the combination of CYTL1 and FAM30A transcripts in human lung.				
14	105	47	Immune	T/NK cell	T cells proliferating		N	N	N	N	N	HLCA-specific	500			0.71	0.86	584410	34	292	208	4								"['CD3G', 'MKI67', 'PCLAF', 'CD3E']"		"['CD3G', 'LCK', 'RRM2', 'MKI67', 'PCLAF', 'CD3E', 'CD3D', 'TYMS', 'HMGB2', 'BIRC5']"					T cells proliferating	skos:broadMatch	unknown	CL:0000084						
22	106	48	Endothelial	Lymphatic EC	Lymphatic EC proliferating		N	N	N	N	N	HLCA-specific	28			0.73	0.82	584913	3	14	14	2								"['CENPF', 'CCL21']"		"['PIMREG', 'PBK', 'CCNA2', 'CENPF', 'CCL21', 'TYMS', 'MMRN1', 'PROX1', 'BIRC5', 'UBE2C']"					Lymphatic EC cell proliferating	skos:broadMatch	unknown	CL:0002138						
25	107	49	Stromal	Fibroblast	Subpleural fibroblasts		N	N	N	N	N	HLCA-specific	276			0.60	0.92	584662	6	206	70	2								"['WT1', 'CXCL12']"		"['WT1', 'VCAM1', 'CADM3', 'CXCL12', 'ALDH1A3', 'PTN', 'EGFL6', 'COL1A1', 'CLDN1', 'APOE']"					Subpleural fibroblasts	skos:broadMatch	unknown	CL:0000057						
26	108	50	Stromal	Myofibroblast	Peribronchial fibroblasts		N	N	N	N	N	HLCA-specific	1573			0.58	0.80	583262	109	1141	432	2								"['DPT', 'APOD']"		"['CXCL14', 'DPT', 'ASPN', 'LTBP2', 'CTSK', 'APOD', 'LTBP1', 'DKK3', 'LUM', 'CFH']"					Peribronchial fibroblasts	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_2000093	Any fibroblast of lung that is part of a bronchus.	These cells selectively express the combination of DPT and APOD transcripts in human lung.				
29	109	51	Stromal	Smooth muscle	SM activated stress response		N	N	N	N	N	HLCA-specific	556			0.58	0.73	584319	69	374	182	2								"['RERGL', 'C11orf96']"		"['RERGL', 'IER5L', 'C11orf96', 'ADAMTS1', 'MCAM', 'PLN', 'ATF3', 'NR4A1', 'TAGLN', 'HSPA1B']"					SM activated stress response	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0019019						
36	110	52	Endothelial	Capillary EC	Lymphatic EC differentiating		Y (Lymphatic endothelial cell)	N	N	N	N	HLCA-specific	566			0.42	0.87	584366	12	488	78	2								"['SEMA3D', 'KALRN']"		"['SEMA3D', 'PKHD1L1', 'DOCK5', 'KALRN', 'MAF', 'NR2F1', 'PROX1', 'UTRN', 'NRP2', 'PPFIBP1']"					Lymphatic EC cell differentiating	skos:relatedMatch	unknown	CL:0002138						
40	111	53	Epithelial	Airway epithelium	Hillock-like		N	N	N	N	N	HLCA-specific	4600			0.66	0.76	579724	620	2651	1949	2								"['KRT14', 'KRT6A']"		"['KRT14', 'KRT16', 'DSG3', 'DSC3', 'KRT13', 'KRT6A', 'KRT5', 'SFN', 'S100A2', 'KRT17']"					Hillock-like	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_4030023	"A hillock cell that is located in respiratory epithelium. In some mammalian species, this cell type has been noted to express KRT13 and KRT4 and is postulated to play a role in squamous barrier function and immunomodulation."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
44	112	54	Epithelial	Submucosal Gland	SMG serous (nasal)		N	N	N	N	N	HLCA-specific	1472			0.92	0.93	583378	94	186	1286	1								['STATH']		"['STATH', 'MUC7', 'ODAM', 'SIX3-AS1', 'GJC3', 'PIP', 'C6orf58', 'S100A1', 'ZG16B', 'LTF']"					SMG serous (nasal)	skos:relatedMatch	unknown	CL:0000313						
47	113	55	Epithelial	Alveolar epithelium	AT2 proliferating		N	N	N	N	N	HLCA-specific	976			0.61	0.76	583866	102	646	330	3								"['PEG10', 'PRC1', 'TOP2A']"		"['PEG10', 'PCLAF', 'PRC1', 'TK1', 'TOP2A', 'TYMS', 'BIRC5', 'UBE2C', 'RRM2', 'NUSAP1']"					AT2 proliferating	skos:broadMatch	unknown	CL:0002063						
48	114	56	Epithelial	Alveolar epithelium	AT0		Y (Respiratory airway secretory cell)	N	N	N	N	HLCA-specific	1440			0.28	0.46	583325	179	1287	153	3								"['HSD17B6', 'XIST', 'SCGB3A2']"		"['HSD17B6', 'XIST', 'SCGB3A2', 'SFTPA2', 'SFTPA1', 'NAPSA', 'HSD17B11', 'AGR3', 'GPRC5A', 'SFTPC']"					AT0	skos:broadMatch	unknown	CL:0010003						
51	115	57	Epithelial	Club/Goblet	Goblet (nasal)		N	N	Y (Goblet)	N	N	HLCA-specific	35833			0.81	0.90	546923	2188	15535	20298	2								"['LYPD2', 'MUC5AC']"		"['CEACAM5', 'LYNX1', 'LYPD2', 'PI3', 'MUC5AC', 'BPIFA1', 'PSCA', 'MUC16', 'MUC4', 'S100P']"					Goblet (nasal)	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_0002480	"A goblet cell located in the nasal epithelium. (Respiratory goblet cell - A simple columnar epithelial cell that secretes mucin. Rough endoplasmic reticulum, mitochondria, the nucleus, and other organelles are concentrated in the basal portion. The apical plasma membrane projects microvilli to increase surface area for secretion.)"	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
50	116	58	Epithelial	Club/Goblet	Club (nasal)		N	N	N	N	N	HLCA-specific	26068			0.43	0.45	546927	11949	16263	9805	2								"['TFCP2L1', 'PSCA']"		"['UGT2A1', 'ASRGL1', 'LYPD2', 'TFCP2L1', 'PSCA', 'TPD52L1', 'ALDH3A1', 'SERPINB3', 'LCN2', 'EPAS1']"					Club (nasal)	skos:broadMatch	unknown	CL:0000158						
52	117	59	Epithelial	Club/Goblet	Goblet (bronchial)		N	N	N	N	N	HLCA-specific	1670			0.55	0.87	583217	57	1292	378	2								"['PLCG2', 'ANKRD36C']"		"['SLC26A4', 'RIMS1', 'PLCG2', 'ANKRD36C', 'SAA2', 'SAA1', 'MUC5AC', 'MUC5B', 'SCGB1A1', 'RARRES1']"					Goblet (bronchial)	skos:exactMatch	unknown	http://purl.obolibrary.org/obo/CL_1000312	A goblet cell that is part of the epithelium of bronchus.	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
53	118	60	Epithelial	Club/Goblet	Goblet (subsegmental)		N	N	N	N	N	HLCA-specific	968			0.61	0.96	583967	9	730	238	2								"['MTRNR2L8', 'SCGB1A1']"		"['MTRNR2L10', 'MTRNR2L8', 'TSPAN8', 'MUC5B', 'SCGB1A1', 'SCGB3A1', 'MTRNR2L12', 'C3_ENSG00000125730', 'CXCL17', 'AGR2']"					Goblet (subsegmental)	skos:relatedMatch	unknown	CL:0019003						
60	119	61	Epithelial	Ciliated	Multiciliated (nasal)		N	N	N	N	N	HLCA-specific	4869			0.59	0.80	579733	342	3486	1383	3								"['FMO3', 'MRLN', 'OMG']"		"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'LYPD2', 'MS4A8']"					Multiciliated (nasal)	skos:relatedMatch	unknown	http://purl.obolibrary.org/obo/CL_0002145						
	5	62	Immune			Neutrophil	N	Y (Classical monocyte)	Y (Classical monocyte)	Y (Classical monocyte)	N	CellRef-specific		246									0.81	0.84	347692	32	72	174	1		['FCGR3B']		"['FCGR3B', 'CXCR2', 'CMTM2', 'MMP9', 'VNN2', 'GCA', 'S100A8', 'FPR1', 'BCL2A1', 'EVI2B']"													
	9	63	Immune			Megakaryocyte/Platelet	N	N	Y (Mast cells)	Y (Smooth muscle)	N	CellRef-specific		41									0.94	1.00	347929	0	10	31	2		"['PF4', 'TUBB1']"		"['PF4', 'ACRBP', 'CMTM5', 'TUBB1', 'GP9', 'TREML1', 'PPBP', 'ITGA2B', 'RGS18', 'NRGN']"													
	13	64	Immune			T regulatory cell	Y (CD4 T cells)	Y (CD4 T cells)	Y (CD4 T cells)	Y (CD4 T cells)	Y (CD4 T cells)	CellRef-specific		252									0.61	0.90	347711	7	186	66	2		"['FOXP3', 'CTLA4']"		"['FOXP3', 'IL2RA', 'CTLA4', 'LINC01943', 'TIGIT', 'ICOS', 'TRAF3', 'DUSP16', 'BATF', 'LTB']"													
	14	65	Immune			Innate lymphoid cell	N	Y (CD8 T cells)	N	N	Y (CD4 T cells)	CellRef-specific		14									0.38	0.67	347955	1	12	2	3		"['TRAF3IP3', 'RESF1', 'CXCR3']"		"['TRAF3IP3', 'SEPTIN1', 'TBX21', 'RESF1', 'CXCR3', 'ACAP1', 'CTSW', 'CD2', 'IL7R', 'SEC61A1']"													
	23	66	Stromal			Chondrocyte	NA	N	N	N	NA	CellRef-specific		6									0.91	1.00	347964	0	2	4	1		['CYTL1']		"['CYTL1', 'SNORC', 'COL2A1', 'HAPLN1', 'ACAN', 'TNFRSF11B', 'RBP4', 'S100A1', 'COL9A3', 'SOX9']"													
	33	67	Epithelial			Myoepithelial cell	N	Y (Suprabasal)	Y (Suprabasal)	Y (Suprabasal)	N	CellRef-specific		669									0.85	0.99	347296	5	305	364	2		"['SFRP1', 'MIA']"		"['SFRP1', 'KRT14', 'COL17A1', 'KRT23', 'CXCL14', 'MIA', 'ACTG2', 'CNN1', 'KRT17', 'SAA1']"													
	41	68	Epithelial			Secretory cell	Y (pre-TB secretory)	N	N	N	Y (pre-TB secretory)	CellRef-specific		2699									0.57	0.56	344045	1226	1112	1587	2		"['TMEM45A', 'SCGB1A1']"		"['TMEM45A', 'MMP7', 'CYP2F1', 'SFTPB', 'SCGB3A2', 'SCGB1A1', 'CP', 'SAA1', 'LTF', 'TSPAN8']"													
																																														
															avg	avg						avg	avg						avg																	
															1.93	0.69						2.00	0.79						1.85																	
					28/61 high confidence matches	28/48 high confidence matches									min							total markers							total markers																	
					13/61 medium confidence matches	13/48 medium confidence matches									0.14							122							89																	
					20/61 unique to HLCA	7/48 unique to CellRef									max																															
															8.44																															
																																														
															Good order of magnitude agreement of cluster size															31/76 HighConfidenceMatch HLCA markers match CellRef markers	31/76 HighConfidenceMatch CellRef markers match HLCA markers															
																														24/76 HighConfidenceMatch HLCA markers match CellRef binary genes	33/76 HighConfidenceMatch CellRef markers match HLCA binary genes															
																														55/76 HLCA2CellRef markers match	64/76 CellRef2HLCA markers match															
